KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
iss	0.020	0.020	0.020	0.021
iss	0.020	0.020	0.040	0.103
iss	0.020	0.020	0.060	0.122
iss	0.020	0.020	0.080	0.103
iss	0.020	0.020	0.100	0.122
iss	0.020	0.040	0.020	0.058
iss	0.020	0.040	0.040	0.142
iss	0.020	0.040	0.060	0.205
iss	0.020	0.040	0.080	0.205
iss	0.020	0.040	0.100	0.282
iss	0.020	0.060	0.020	0.080
iss	0.020	0.060	0.040	0.047
iss	0.020	0.060	0.060	0.047
iss	0.020	0.060	0.080	0.047
iss	0.020	0.060	0.100	0.047
iss	0.020	0.080	0.020	0.062
iss	0.020	0.080	0.040	0.062
iss	0.020	0.080	0.060	0.122
iss	0.020	0.080	0.080	0.122
iss	0.020	0.080	0.100	0.175
iss	0.020	0.100	0.020	0.071
iss	0.020	0.100	0.040	0.071
iss	0.020	0.100	0.060	0.286
iss	0.020	0.100	0.080	0.286
iss	0.020	0.100	0.100	0.286
iss	0.040	0.020	0.020	0.021
iss	0.040	0.020	0.040	0.103
iss	0.040	0.020	0.060	0.122
iss	0.040	0.020	0.080	0.103
iss	0.040	0.020	0.100	0.122
iss	0.040	0.040	0.020	0.058
iss	0.040	0.040	0.040	0.142
iss	0.040	0.040	0.060	0.205
iss	0.040	0.040	0.080	0.205
iss	0.040	0.040	0.100	0.282
iss	0.040	0.060	0.020	0.080
iss	0.040	0.060	0.040	0.047
iss	0.040	0.060	0.060	0.047
iss	0.040	0.060	0.080	0.047
iss	0.040	0.060	0.100	0.047
iss	0.040	0.080	0.020	0.062
iss	0.040	0.080	0.040	0.062
iss	0.040	0.080	0.060	0.122
iss	0.040	0.080	0.080	0.122
iss	0.040	0.080	0.100	0.175
iss	0.040	0.100	0.020	0.071
iss	0.040	0.100	0.040	0.071
iss	0.040	0.100	0.060	0.286
iss	0.040	0.100	0.080	0.286
iss	0.040	0.100	0.100	0.286
iss	0.060	0.020	0.020	0.021
iss	0.060	0.020	0.040	0.103
iss	0.060	0.020	0.060	0.122
iss	0.060	0.020	0.080	0.103
iss	0.060	0.020	0.100	0.122
iss	0.060	0.040	0.020	0.058
iss	0.060	0.040	0.040	0.142
iss	0.060	0.040	0.060	0.205
iss	0.060	0.040	0.080	0.205
iss	0.060	0.040	0.100	0.282
iss	0.060	0.060	0.020	0.080
iss	0.060	0.060	0.040	0.047
iss	0.060	0.060	0.060	0.047
iss	0.060	0.060	0.080	0.047
iss	0.060	0.060	0.100	0.047
iss	0.060	0.080	0.020	0.062
iss	0.060	0.080	0.040	0.062
iss	0.060	0.080	0.060	0.122
iss	0.060	0.080	0.080	0.122
iss	0.060	0.080	0.100	0.175
iss	0.060	0.100	0.020	0.071
iss	0.060	0.100	0.040	0.071
iss	0.060	0.100	0.060	0.286
iss	0.060	0.100	0.080	0.286
iss	0.060	0.100	0.100	0.286
iss	0.080	0.020	0.020	0.021
iss	0.080	0.020	0.040	0.103
iss	0.080	0.020	0.060	0.122
iss	0.080	0.020	0.080	0.103
iss	0.080	0.020	0.100	0.122
iss	0.080	0.040	0.020	0.058
iss	0.080	0.040	0.040	0.142
iss	0.080	0.040	0.060	0.205
iss	0.080	0.040	0.080	0.205
iss	0.080	0.040	0.100	0.282
iss	0.080	0.060	0.020	0.080
iss	0.080	0.060	0.040	0.047
iss	0.080	0.060	0.060	0.047
iss	0.080	0.060	0.080	0.047
iss	0.080	0.060	0.100	0.047
iss	0.080	0.080	0.020	0.062
iss	0.080	0.080	0.040	0.062
iss	0.080	0.080	0.060	0.122
iss	0.080	0.080	0.080	0.122
iss	0.080	0.080	0.100	0.175
iss	0.080	0.100	0.020	0.071
iss	0.080	0.100	0.040	0.071
iss	0.080	0.100	0.060	0.286
iss	0.080	0.100	0.080	0.286
iss	0.080	0.100	0.100	0.286
iss	0.100	0.020	0.020	0.021
iss	0.100	0.020	0.040	0.103
iss	0.100	0.020	0.060	0.122
iss	0.100	0.020	0.080	0.103
iss	0.100	0.020	0.100	0.122
iss	0.100	0.040	0.020	0.058
iss	0.100	0.040	0.040	0.142
iss	0.100	0.040	0.060	0.205
iss	0.100	0.040	0.080	0.205
iss	0.100	0.040	0.100	0.282
iss	0.100	0.060	0.020	0.080
iss	0.100	0.060	0.040	0.047
iss	0.100	0.060	0.060	0.047
iss	0.100	0.060	0.080	0.047
iss	0.100	0.060	0.100	0.047
iss	0.100	0.080	0.020	0.062
iss	0.100	0.080	0.040	0.062
iss	0.100	0.080	0.060	0.122
iss	0.100	0.080	0.080	0.122
iss	0.100	0.080	0.100	0.175
iss	0.100	0.100	0.020	0.071
iss	0.100	0.100	0.040	0.071
iss	0.100	0.100	0.060	0.286
iss	0.100	0.100	0.080	0.286
iss	0.100	0.100	0.100	0.286
us	0.020	0.020	0.020	0.065
us	0.020	0.020	0.040	0.042
us	0.020	0.020	0.060	0.042
us	0.020	0.020	0.080	0.275
us	0.020	0.020	0.100	0.275
us	0.020	0.040	0.020	0.021
us	0.020	0.040	0.040	0.021
us	0.020	0.040	0.060	0.021
us	0.020	0.040	0.080	0.021
us	0.020	0.040	0.100	0.367
us	0.020	0.060	0.020	0.056
us	0.020	0.060	0.040	0.108
us	0.020	0.060	0.060	0.108
us	0.020	0.060	0.080	0.315
us	0.020	0.060	0.100	0.317
us	0.020	0.080	0.020	0.097
us	0.020	0.080	0.040	0.111
us	0.020	0.080	0.060	0.111
us	0.020	0.080	0.080	0.308
us	0.020	0.080	0.100	0.308
us	0.020	0.100	0.020	0.150
us	0.020	0.100	0.040	0.163
us	0.020	0.100	0.060	0.190
us	0.020	0.100	0.080	0.190
us	0.020	0.100	0.100	0.179
us	0.040	0.020	0.020	0.453
us	0.040	0.020	0.040	0.665
us	0.040	0.020	0.060	0.626
us	0.040	0.020	0.080	0.360
us	0.040	0.020	0.100	0.360
us	0.040	0.040	0.020	0.372
us	0.040	0.040	0.040	0.266
us	0.040	0.040	0.060	0.239
us	0.040	0.040	0.080	0.362
us	0.040	0.040	0.100	0.266
us	0.040	0.060	0.020	0.533
us	0.040	0.060	0.040	0.533
us	0.040	0.060	0.060	0.531
us	0.040	0.060	0.080	0.597
us	0.040	0.060	0.100	0.474
us	0.040	0.080	0.020	4.505
us	0.040	0.080	0.040	0.205
us	0.040	0.080	0.060	0.328
us	0.040	0.080	0.080	0.328
us	0.040	0.080	0.100	0.361
us	0.040	0.100	0.020	0.528
us	0.040	0.100	0.040	0.247
us	0.040	0.100	0.060	0.403
us	0.040	0.100	0.080	0.327
us	0.040	0.100	0.100	0.438
us	0.060	0.020	0.020	1.110
us	0.060	0.020	0.040	1.110
us	0.060	0.020	0.060	0.555
us	0.060	0.020	0.080	0.555
us	0.060	0.020	0.100	0.555
us	0.060	0.040	0.020	13.480
us	0.060	0.040	0.040	13.480
us	0.060	0.040	0.060	8.359
us	0.060	0.040	0.080	6.263
us	0.060	0.040	0.100	7.414
us	0.060	0.060	0.020	13.480
us	0.060	0.060	0.040	13.480
us	0.060	0.060	0.060	0.731
us	0.060	0.060	0.080	0.731
us	0.060	0.060	0.100	4.137
us	0.060	0.080	0.020	13.480
us	0.060	0.080	0.040	4.897
us	0.060	0.080	0.060	4.897
us	0.060	0.080	0.080	5.793
us	0.060	0.080	0.100	5.793
us	0.060	0.100	0.020	0.675
us	0.060	0.100	0.040	0.351
us	0.060	0.100	0.060	0.357
us	0.060	0.100	0.080	0.351
us	0.060	0.100	0.100	0.351
us	0.080	0.020	0.020	13.480
us	0.080	0.020	0.040	13.480
us	0.080	0.020	0.060	13.480
us	0.080	0.020	0.080	13.480
us	0.080	0.020	0.100	0.430
us	0.080	0.040	0.020	13.480
us	0.080	0.040	0.040	0.321
us	0.080	0.040	0.060	0.410
us	0.080	0.040	0.080	0.675
us	0.080	0.040	0.100	0.675
us	0.080	0.060	0.020	13.480
us	0.080	0.060	0.040	0.112
us	0.080	0.060	0.060	0.112
us	0.080	0.060	0.080	0.112
us	0.080	0.060	0.100	0.112
us	0.080	0.080	0.020	13.480
us	0.080	0.080	0.040	0.294
us	0.080	0.080	0.060	4.210
us	0.080	0.080	0.080	4.210
us	0.080	0.080	0.100	4.555
us	0.080	0.100	0.020	13.480
us	0.080	0.100	0.040	13.480
us	0.080	0.100	0.060	13.480
us	0.080	0.100	0.080	4.070
us	0.080	0.100	0.100	4.070
us	0.100	0.020	0.020	13.480
us	0.100	0.020	0.040	13.480
us	0.100	0.020	0.060	13.480
us	0.100	0.020	0.080	13.480
us	0.100	0.020	0.100	13.480
us	0.100	0.040	0.020	13.480
us	0.100	0.040	0.040	13.480
us	0.100	0.040	0.060	13.480
us	0.100	0.040	0.080	13.480
us	0.100	0.040	0.100	13.480
us	0.100	0.060	0.020	13.480
us	0.100	0.060	0.040	13.480
us	0.100	0.060	0.060	13.480
us	0.100	0.060	0.080	0.744
us	0.100	0.060	0.100	0.744
us	0.100	0.080	0.020	13.480
us	0.100	0.080	0.040	13.480
us	0.100	0.080	0.060	6.932
us	0.100	0.080	0.080	6.932
us	0.100	0.080	0.100	6.932
us	0.100	0.100	0.020	13.480
us	0.100	0.100	0.040	13.480
us	0.100	0.100	0.060	13.480
us	0.100	0.100	0.080	4.756
us	0.100	0.100	0.100	4.756
susan	0.020	0.020	0.020	0.021
susan	0.020	0.020	0.040	0.021
susan	0.020	0.020	0.060	0.021
susan	0.020	0.020	0.080	0.021
susan	0.020	0.020	0.100	0.021
susan	0.020	0.040	0.020	0.021
susan	0.020	0.040	0.040	0.146
susan	0.020	0.040	0.060	0.133
susan	0.020	0.040	0.080	0.133
susan	0.020	0.040	0.100	0.133
susan	0.020	0.060	0.020	0.021
susan	0.020	0.060	0.040	0.021
susan	0.020	0.060	0.060	0.021
susan	0.020	0.060	0.080	0.021
susan	0.020	0.060	0.100	0.021
susan	0.020	0.080	0.020	0.094
susan	0.020	0.080	0.040	0.167
susan	0.020	0.080	0.060	0.167
susan	0.020	0.080	0.080	0.167
susan	0.020	0.080	0.100	0.167
susan	0.020	0.100	0.020	0.021
susan	0.020	0.100	0.040	0.102
susan	0.020	0.100	0.060	0.229
susan	0.020	0.100	0.080	0.229
susan	0.020	0.100	0.100	0.229
susan	0.040	0.020	0.020	0.021
susan	0.040	0.020	0.040	0.021
susan	0.040	0.020	0.060	0.021
susan	0.040	0.020	0.080	0.021
susan	0.040	0.020	0.100	0.455
susan	0.040	0.040	0.020	0.021
susan	0.040	0.040	0.040	0.021
susan	0.040	0.040	0.060	0.021
susan	0.040	0.040	0.080	0.021
susan	0.040	0.040	0.100	0.247
susan	0.040	0.060	0.020	0.021
susan	0.040	0.060	0.040	0.021
susan	0.040	0.060	0.060	0.021
susan	0.040	0.060	0.080	0.021
susan	0.040	0.060	0.100	0.021
susan	0.040	0.080	0.020	0.094
susan	0.040	0.080	0.040	0.157
susan	0.040	0.080	0.060	0.167
susan	0.040	0.080	0.080	0.167
susan	0.040	0.080	0.100	0.167
susan	0.040	0.100	0.020	0.021
susan	0.040	0.100	0.040	0.102
susan	0.040	0.100	0.060	0.229
susan	0.040	0.100	0.080	0.229
susan	0.040	0.100	0.100	0.229
susan	0.060	0.020	0.020	0.021
susan	0.060	0.020	0.040	0.021
susan	0.060	0.020	0.060	0.021
susan	0.060	0.020	0.080	0.021
susan	0.060	0.020	0.100	0.021
susan	0.060	0.040	0.020	0.021
susan	0.060	0.040	0.040	0.146
susan	0.060	0.040	0.060	0.133
susan	0.060	0.040	0.080	0.133
susan	0.060	0.040	0.100	0.133
susan	0.060	0.060	0.020	0.021
susan	0.060	0.060	0.040	0.021
susan	0.060	0.060	0.060	0.021
susan	0.060	0.060	0.080	0.021
susan	0.060	0.060	0.100	0.021
susan	0.060	0.080	0.020	0.094
susan	0.060	0.080	0.040	0.167
susan	0.060	0.080	0.060	0.167
susan	0.060	0.080	0.080	0.167
susan	0.060	0.080	0.100	0.167
susan	0.060	0.100	0.020	0.021
susan	0.060	0.100	0.040	0.102
susan	0.060	0.100	0.060	0.229
susan	0.060	0.100	0.080	0.229
susan	0.060	0.100	0.100	0.229
susan	0.080	0.020	0.020	0.157
susan	0.080	0.020	0.040	0.157
susan	0.080	0.020	0.060	0.157
susan	0.080	0.020	0.080	0.157
susan	0.080	0.020	0.100	0.365
susan	0.080	0.040	0.020	0.061
susan	0.080	0.040	0.040	0.126
susan	0.080	0.040	0.060	0.126
susan	0.080	0.040	0.080	0.126
susan	0.080	0.040	0.100	0.126
susan	0.080	0.060	0.020	0.116
susan	0.080	0.060	0.040	0.073
susan	0.080	0.060	0.060	0.073
susan	0.080	0.060	0.080	0.073
susan	0.080	0.060	0.100	0.073
susan	0.080	0.080	0.020	0.137
susan	0.080	0.080	0.040	0.118
susan	0.080	0.080	0.060	0.192
susan	0.080	0.080	0.080	0.192
susan	0.080	0.080	0.100	0.207
susan	0.080	0.100	0.020	0.038
susan	0.080	0.100	0.040	0.038
susan	0.080	0.100	0.060	0.248
susan	0.080	0.100	0.080	0.248
susan	0.080	0.100	0.100	0.248
susan	0.100	0.020	0.020	0.021
susan	0.100	0.020	0.040	0.021
susan	0.100	0.020	0.060	0.021
susan	0.100	0.020	0.080	0.021
susan	0.100	0.020	0.100	0.021
susan	0.100	0.040	0.020	0.021
susan	0.100	0.040	0.040	0.146
susan	0.100	0.040	0.060	0.133
susan	0.100	0.040	0.080	0.133
susan	0.100	0.040	0.100	0.133
susan	0.100	0.060	0.020	0.021
susan	0.100	0.060	0.040	0.021
susan	0.100	0.060	0.060	0.021
susan	0.100	0.060	0.080	0.021
susan	0.100	0.060	0.100	0.021
susan	0.100	0.080	0.020	0.094
susan	0.100	0.080	0.040	0.167
susan	0.100	0.080	0.060	0.167
susan	0.100	0.080	0.080	0.167
susan	0.100	0.080	0.100	0.167
susan	0.100	0.100	0.020	0.021
susan	0.100	0.100	0.040	0.102
susan	0.100	0.100	0.060	0.229
susan	0.100	0.100	0.080	0.229
susan	0.100	0.100	0.100	0.229
harris3D	0.020	0.020	0.020	0.074
harris3D	0.020	0.020	0.040	0.074
harris3D	0.020	0.020	0.060	0.074
harris3D	0.020	0.020	0.080	0.074
harris3D	0.020	0.020	0.100	0.074
harris3D	0.020	0.040	0.020	0.020
harris3D	0.020	0.040	0.040	0.020
harris3D	0.020	0.040	0.060	0.066
harris3D	0.020	0.040	0.080	0.020
harris3D	0.020	0.040	0.100	0.020
harris3D	0.020	0.060	0.020	0.087
harris3D	0.020	0.060	0.040	0.024
harris3D	0.020	0.060	0.060	0.024
harris3D	0.020	0.060	0.080	0.024
harris3D	0.020	0.060	0.100	0.024
harris3D	0.020	0.080	0.020	0.083
harris3D	0.020	0.080	0.040	0.146
harris3D	0.020	0.080	0.060	0.236
harris3D	0.020	0.080	0.080	0.399
harris3D	0.020	0.080	0.100	0.236
harris3D	0.020	0.100	0.020	0.109
harris3D	0.020	0.100	0.040	0.205
harris3D	0.020	0.100	0.060	0.023
harris3D	0.020	0.100	0.080	0.109
harris3D	0.020	0.100	0.100	0.214
harris3D	0.040	0.020	0.020	0.074
harris3D	0.040	0.020	0.040	0.074
harris3D	0.040	0.020	0.060	0.074
harris3D	0.040	0.020	0.080	0.074
